event_date,event_type,product_id,category,subcategory,brand,price,user_id,user_session
2019-10-23,view,1600600,computers,peripherals,hp,148.04,548757053,7b5e86eb-6c9f-4862-b9cb-20b773d64a75
2019-10-28,view,1004238,electronics,smartphone,apple,1243.79,512471699,7b21fd53-8f8d-44f7-b126-fcb63b4a34df
2019-10-31,view,1004566,electronics,smartphone,huawei,164.88,548430364,2e5a410f-0d20-41c9-82c1-aa1b4dcdd11d
2019-10-12,view,1003310,electronics,smartphone,apple,696.13,558364479,587402bb-2083-4a8c-a874-f270e3408db1
2019-10-28,view,4804295,electronics,audio,xiaomi,22.86,514732843,52ae3808-c842-4fbd-97a4-ea7c862aef35
2019-10-07,view,1005139,electronics,smartphone,apple,2110.45,522360414,dcbd9c4e-eb4b-42a2-8cc2-d6e2e561b780
2019-10-17,view,5000690,appliances,sewing_machine,chayka,91.89,515896815,6e648f36-23f3-4cc0-93f1-b09eb29abe78
2019-10-31,view,2800627,appliances,kitchen,leadbros,248.4,516050989,962b7c1c-3f6d-4cfa-b0c6-7116ff5f12cd
2019-10-14,cart,1004750,electronics,smartphone,samsung,196.8,559982276,24827823-b5cd-4f98-9c6c-6c835cc9c7ee
2019-10-24,view,42300006,furniture,living_room,sv,177.1,556782976,05614727-10a3-4a10-8ad4-2accb6cde8df
2019-10-13,view,12201740,sport,bicycle,wethepeople,514.56,557402053,6f7e684a-be1e-416a-8a77-11d46016ef9a
2019-10-31,view,1500448,computers,peripherals,hp,102.71,565993659,52c0b618-92a3-43e6-a4c7-fdd29feff45f
2019-10-30,view,13201315,furniture,bedroom,stendmebel,161.91,565799967,e8344ab3-e2e5-4253-9d66-e015ee2640af
2019-10-02,view,1005149,electronics,smartphone,xiaomi,609.83,523527104,79b4153e-5188-463a-9f3a-1f6afded1137
2019-10-21,view,2701661,appliances,kitchen,dauscher,130.22,559234234,eac67632-105f-430a-8a70-3e55f44bf97d
2019-10-12,view,4804055,electronics,audio,apple,191.59,559186776,40ca9904-7b57-44ba-9744-036ed8b6aada
2019-10-05,cart,1004840,electronics,smartphone,huawei,952.15,514562870,c4b0ee40-fc66-4c45-8fde-af0481c2c44a
2019-10-11,view,1005143,electronics,smartphone,apple,1567.3,558089373,e9347be1-413f-4c1c-81ff-609d499cc920
2019-10-22,view,1802022,electronics,video,samsung,514.08,549440577,823d8e4e-bc68-49a7-914c-36a8f7727dd3
2019-10-28,view,1701520,computers,peripherals,qmax,78.62,550346260,ffaf6916-f98d-4dcc-9a07-b570a22c62e0
2019-10-22,view,1003310,electronics,smartphone,apple,696.03,562254313,22af80e4-8dd1-41da-875d-52ac63195e0e
2019-10-09,view,2701727,appliances,kitchen,beko,285.77,544606417,8a9d9791-f0c1-4da8-b9c1-282efa492801
2019-10-05,view,4501870,appliances,kitchen,bosch,254.52,514310754,3130cff9-0337-46d0-b28d-f3e99dd2f487
2019-10-26,view,1802009,electronics,video,samsung,720.48,563622791,553c7577-033b-436b-b314-4edcf9b0907f
2019-10-09,view,1004875,electronics,smartphone,samsung,388.08,514095091,8ff1589d-4f4e-433e-a1b2-f5d93f03b729
2019-10-13,view,12400182,construction,tools,dwt,134.62,555652277,d7e67af5-7280-4dd2-8c1e-787a37a71392
2019-10-09,view,4600377,appliances,kitchen,electrolux,504.49,516043201,04b2880c-eead-4c60-b3a3-8bf5efbc8de9
2019-10-28,purchase,1004250,electronics,smartphone,apple,776.94,512577046,3a1d432a-879c-4dbe-a938-482980bc0075
2019-10-13,view,1801581,electronics,video,yasin,373.21,527665157,9867da43-89fb-498c-be9c-fab5342a4414
2019-10-07,view,1004402,electronics,smartphone,xiaomi,164.07,557537569,18033543-7581-4970-a9d0-969d0ac56186
2019-10-13,view,35200183,apparel,underwear,milavitsa,14.83,518492751,3363f93b-2e62-492f-817e-bd7186a0163c
2019-10-09,view,1004213,electronics,smartphone,xiaomi,409.28,514660800,2e2533c2-9f41-4d18-a717-753eef20428d
2019-10-08,view,1004767,electronics,smartphone,samsung,250.96,557987823,5f091696-617d-44e4-ba6d-0c42dee3b39e
2019-10-10,view,4803879,electronics,audio,xiaomi,71.3,552509201,a38a1805-3759-44dc-a919-47124eb4fd1d
2019-10-23,cart,1004833,electronics,smartphone,samsung,170.83,551444822,69af4d09-7504-465e-b673-7e9d72612162
2019-10-08,view,2701647,appliances,kitchen,indesit,290.61,517483584,eef0c397-d7d8-4473-91ea-fedacad2aab3
2019-10-01,view,1005115,electronics,smartphone,apple,975.56,555738591,5084ba8f-e4f6-4c8f-80ec-a41412aca65e
2019-10-16,view,8800969,electronics,telephone,fly,9.76,560423282,0bd9d050-f789-4042-80ed-0a04f2538a9a
2019-10-24,view,3900647,appliances,environment,ariston,102.85,515381935,cfddde31-861b-48b1-8231-de33163f3eb6
2019-10-15,view,3700559,appliances,environment,karcher,203.32,555698399,e80ea7d7-b322-4478-9668-59fd7302b1e8
2019-10-22,view,1004856,electronics,smartphone,samsung,131.53,563063387,59673821-79c4-4ba3-99dd-504cb15074c5
2019-10-22,view,9100307,computers,peripherals,redragon,10.27,520935882,040f97e5-fdaf-4a49-96c4-301822e11b95
2019-10-31,view,22600071,auto,accessories,heyner,46.33,516487451,8bce62ee-c02d-40f4-85d6-910723cd92e9
2019-10-22,view,5000339,appliances,sewing_machine,janome,133.83,561546518,0eb95ba4-280b-4ee0-b177-b2e118cb2aca
2019-10-06,view,3800499,appliances,iron,scarlett,92.64,537474870,b5fa7af6-b67b-4539-b712-a487be02fbd8
2019-10-15,purchase,3701088,appliances,environment,bosch,102.23,514700482,b7bff354-54d7-4c1e-90e7-b249f647eda9
2019-10-18,view,1005115,electronics,smartphone,apple,1001.31,523316760,7b53ea03-c173-448d-bf4a-086a928589f4
2019-10-10,view,3601105,appliances,kitchen,midea,234.76,542346288,16c5f669-1f03-451c-b21c-7072d2b897d8
2019-10-29,view,1480703,computers,desktop,pulser,440.14,527360142,42546c90-3b22-424e-a4e7-e49715d72c20
2019-10-03,view,1003535,electronics,smartphone,samsung,460.5,512793721,0a52cea5-bfcf-4c79-8af9-1997722f0916
2019-10-20,view,4700651,auto,accessories,anytek,100.39,539774038,05471125-8d77-434c-b4e4-46065db3ce89
2019-10-26,view,1401872,computers,desktop,netechnics,630.62,558830155,554bd856-49b2-45d1-8490-a59a52f050a6
2019-10-23,view,28716678,apparel,shoes,respect,84.43,547477257,cd72a923-c8b8-402e-b313-239fe22e6a37
2019-10-27,view,1004237,electronics,smartphone,apple,1093.82,513327433,2784078b-e060-4c23-a2b8-950fc6e9f386
2019-10-29,view,1004766,electronics,smartphone,samsung,243.26,551553051,fa11b245-3aff-43ba-9dad-8794c7df0a22
