user_id,gender,age
548757053,Female,28
512471699,Female,52
548430364,Female,65
558364479,Female,38
514732843,Male,74
522360414,Male,60
515896815,Female,71
516050989,Female,72
559982276,Male,68
556782976,Female,41
557402053,Female,24
565993659,Male,34
565799967,Male,27
523527104,Male,75
559234234,Male,26
559186776,Male,18
514562870,Female,20
558089373,Female,47
549440577,Female,45
550346260,Female,53
562254313,Female,35
544606417,Female,25
514310754,Male,63
563622791,Male,73
514095091,Female,27
555652277,Male,32
516043201,Male,65
512577046,Female,42
527665157,Female,75
557537569,Female,30
518492751,Female,30
514660800,Female,37
557987823,Female,26
552509201,Female,58
551444822,Male,45
517483584,Female,18
555738591,Male,23
560423282,Male,62
515381935,Female,72
555698399,Male,23
563063387,Male,54
520935882,Female,26
516487451,Male,73
561546518,Female,74
537474870,Male,35
514700482,Female,43
523316760,Female,72
542346288,Female,52
527360142,Female,53
512793721,Female,56
539774038,Female,28
558830155,Male,33
547477257,Male,34
513327433,Female,36
551553051,Female,73
515642319,Female,37
518706332,Female,74
513797052,Female,41
513604019,Male,38
518372056,Male,57
564242504,Female,75
515898857,Female,45
540266581,Male,27
555065404,Male,74
519263984,Female,22
518710447,Female,54
558892233,Female,19
540843106,Female,30
561892883,Female,43
549811658,Male,35
512918927,Male,72
534545940,Male,28
516705159,Male,39
524004237,Male,55
513054388,Female,23
562887121,Male,42
539463587,Female,47
560568717,Male,35
530811247,Male,64
524177549,Female,52
512987188,Male,47
565976690,Female,67
526731152,Male,28
555490217,Female,61
516189978,Male,27
552779823,Female,44
556312569,Female,33
535568683,Female,25
535667472,Male,26
545821531,Male,29
515265284,Male,27
516343467,Female,61
527610328,Male,44
560426451,Male,48
524851521,Male,57
536192387,Female,55
519039272,Female,39
548532660,Female,26
513328012,Male,69
563588295,Male,20
555960082,Female,32
547923398,Male,18
539567104,Female,62
516086885,Female,56
514202839,Male,53
535698443,Female,36
514119163,Female,39
514752602,Female,65
513070003,Male,28
513236265,Female,69
518813245,Male,39
530490403,Male,59
552283756,Male,36
560803932,Female,69
517297621,Female,18
556032018,Male,24
513084457,Male,41
513595592,Male,46
518622304,Male,64
538043520,Male,65
535599830,Female,26
533347926,Male,40
516864334,Male,72
552188239,Male,51
517930423,Male,46
551632511,Male,28
564078502,Male,19
549464660,Male,37
518841473,Male,46
562330373,Male,41
514664861,Female,51
543195177,Male,26
565612556,Female,50
539657289,Male,62
527088267,Male,26
563418432,Male,44
556930273,Male,39
526035485,Male,43
512584690,Male,47
531158103,Male,48
512550770,Female,58
561824249,Female,54
512754435,Female,64
517142988,Male,24
562030773,Male,71
513013149,Male,57
540179255,Female,26
556073688,Male,35
515650326,Male,23
513356296,Male,66
546124244,Female,57
555740514,Male,70
558809648,Female,20
514072723,Female,19
523615252,Female,40
513207497,Female,45
514703684,Male,42
523495722,Female,40
512508618,Female,47
538042178,Female,37
512415022,Male,18
517592175,Female,45
558894577,Male,31
513571207,Female,64
541716831,Female,33
556267819,Male,66
515929792,Male,21
557650362,Female,60
560728119,Female,19
530028032,Female,20
536583469,Female,55
550145858,Female,39
515896686,Female,67
514468999,Male,58
552369235,Male,69
564314129,Male,51
556641072,Female,60
561414367,Female,27
515595919,Female,52
514751435,Male,20
537748938,Male,31
515064868,Male,39
536636330,Male,63
523671848,Male,49
525281370,Male,60
517615258,Male,47
513368172,Male,30
557874027,Male,47
524044876,Male,66
543458134,Female,73
548015983,Male,68
515125400,Male,42
565843658,Male,52
559840615,Female,24
546378560,Female,40
536148974,Female,68
541624496,Male,66
555715354,Female,28
546457712,Female,31
548597189,Male,42
